Word,Meaning,Part of Speech,Examples Sentence, Synonym,Topic,To Indonesian
Mitigate,<Make less> severe-or- serious-or- or painful,Verb,"Governments should act to <mitigate> climate change.
He wants to <mitigate> misery in the world. ",reduce-or- lessen-or- alleviate-or- diminish,Environment,Mengurangi
Hinder,Create difficulties for (something or someone)-or- <resulting in delay or obstruction>,Verb,"Poor infrastructure <hinder> economy growth.
Various family stalemates were <hindering> communication",block-or- delay-or- obstruct-or- impede,Economy,Menghalangi
Crucial,Decisive or critical-or- especially in the success or failure of something <(very important)>,Adjective,"Negotiations were at <crucial> stage.
this game is <crucial> to our survival.
Vocabulary is <crucial> in IELTS preparation",vital-or- essential-or- critical-or- key,Education,Penting
Courage,The ability to <do something that frightens> one.,Noun,"She called on all her <courage> to face the ordeal.
He fought his illness with great <courage>",bravery-or- nerve-or- audacity,Health,Keberanian
Beg,"<Ask (someone)> earnestly or humbly for something. 
<Ask for something> typically food or money-or- as charity or a gift",Verb,"She <bagged> me to say nothing to her father.
A young women was <begged> in the street.
I must <beg> of you not to act impulsively.",sponge-or- ask-or- request,Economy,Mengemis
Admit,"<Confess to be true> or to be the case-or- typically with reluctance. 
<Allow (someone)> to enter a place.
Accept as valid.
Allow the possibility of.
",Verb,"The office finally <admitted> that several prisoners had been injured.
The courts can refuse to <admit> police evidence that has been ilegally obtained. ",acknowledge-or- confess-or- reveal-or- make known,Environment,Mengakui
Adolescent,(of a <young people>) in the proccess of developing from a child into an adult.,Adjective,"Many parents find it hard to understand their <adolescent> children. 
<Adolescent> problems.",teenage-or- youthful-or- young-or- teen pubescent,People,Remaja
Rely,Depend with <full trust> or confidence.,Verb,I know I can <rely> on your discreation.,depend-or- count-or- trust-or- hope for,People,Mengandalkan
Conscious,<Aware of> and responding to one's surroundings; awake,Adjective,"We are <conscious> of the extent of the content.
He was very <conscious> of his appearance.
A <conscious> effort to walk properly.",aware-or- awake-or- reactive-or- feeling,People ,Sadar
Duty,"A moral or legal obligation; <a responsibility>.
<A task or action> that someone is <required to perform>.
A payment levied on the import-or- export-or- manufacture-or- or sale of goods.
The measure of an engine's effectiveness in units of work done per unit of fuel.",Noun,"Combat <duty> in the army. 
It's my <duty> to uphold the law. 
Juliet reported for <duty>. 
A fifteen minutes <duty> visit.",responsibility-or- obligation-or- allegiance-or- loyalty,People,Tugas
Resemble,Have qualities or features-or- especially on those of appearance-or- in common with  (someone or something); <look or seem like>.,Verb,"Some people <resemble> their dogs.
They seemed <resemble> each other closely.",look like-or- be like-or- be similar to-or- mirror,People,Mirip
Bond,"A <relation> between people or groups based on shared feelings-or- interest-or- or experiences.
A <connection> between two surfaces or objects.",Noun,"There was a <bond> understanding between them. 
There was no effective <bond> between the concrete  and the steel. 
English <bond>.",friendship-or- relationship-or- fellowship-or- link,People,Menjalin Kedekatan
Inherent,<Existing> in something in <permanent>-or- essential-or- or characteristic attriibute,Adjective,"Any form in mountaneering has its <inherent> dangers.
The president's <inherent> foreign affairs power.
The simbolism <inherent> in all folk tales.",intrinsic-or- innate-or- essential-or- basic-or- implisit,People,Yang melekat-or- Yang menjadi bagian
Harmful,Causing or likely to <cause harm>.,Adjective,"Sugars can be <harmful> to the teeth.
Shield the planet from <harmful> cosmic rays.",hurtful-or- damaging-or- injuries-or- dangerous,Health,Berbahaya
Appetite,A <natural desire to satisfy> a bodily need-or- especially for food,Noun,"He has healthy <appetite>.
The smell in the kitchen spoiled my <appetite>.",hunger-or- desire-or- relish-or- greed,Health,Nafsu Makan
Elementary,"Relating on the <basic elements> of subject.
Straightforward and uncomplicated.
Not be able to be decomposed into elements or other primary constituents.",Adjective,"An <elementary> astronomy course.
A series of <elementary> exersises.",basic-or- easy-or- simple-or- effortless,Education,Dasar
Expose,"Make (something) visible by <uncovering it>.
Reveal the true-or- objectionable nature of (someone or something).",Verb,"At low tide the sand are <exposed>.
He has been <exposed> as a liar and a traitor.",reveal-or- uncover-or- display-or- show,Education,Membuka
Exposure,"The state of <being exposed to contact with something>. 
The revealation of identity or fact-or- especially one that is concealed or likely arouse dissaproval. 
The action of <exposing photographic film to light> or other radiation.
The direction in which building faces; an outlook.",Noun,"The danger posed by <exposure> to asbestos.
She look her life for fear of <exposure> as a spy.
A camera that would give a picture immediately after <exposure>.",subjection-or- submission-or-  unmasking-or- uncovering,Education,Paparan
Contaminated,Having made impure by exposure or addition of a <poisonous or polluting> subtance.,Adjective,<Contaminated> blood product.,infected,Education,Terkontaminasi
Conform,<Comply> with rules-or- standards-or- or laws.,Verb,The kitchen does not <comform> to hygiene regulations.,compy with-or- observe-or- keep to-or- match up to,Community,Sesuai
Cooperate,<Work jointly> toward the same end.,Verb,The leaders promised to <cooperate> in ending civil war,collaborate-or- team up-or- pull together-or- join together,Community,Bekerja Sama
Shun,<Persistenly avoid>-or- ignore-or- or reject (someone or something) through antipathy or caution.,Verb,He <shunned> fashionable society.,avoid-or- fight shy of-or- not touch-or- leave alone,Community,Menghindari
Conduct,"the manner in which a person behaves-or- especially on a particular occasion or in a particular context.
the <action or manner of managing an activity> or organization.",Noun,"all three brothers were known for their disorderly <conduct>.
his <conduct> of the campaign.
in the second trial he <conducted> his own defense.",behaviour-or- way of behaving-or- performance,Community,Mengadakan
Acquire,"<buy or obtain> (an asset or object) for oneself. 
learn or develop (a skill-or- habit-or- or quality).
",Verb,"I managed to <acquire> all the books I needed.
you must <acquire> the rudiments of Greek",obtain-or- get-or- earn-or- gain,Study,Mendapatkan
Compulsory,<Required> by law or a rule; obligatory.,Adjective,<compulsory> military service.,required-or- requisite-or- necessary-or- essential,Study,Wajib
Determine,<Cause (something) to occur> in a particular way; be the decisive factor in.,Verb,"It will be her mental attitude that <determines> her future.
The point of our study was <determine> what is ",control-or- decide-or- rule-or- regulate,Study,Menentukan
Establish,<set up> (an organization-or- system-or- or set a rules) on a firm or permanent basis,Verb,"The british <established> a rich trade with portugal.
The principle of the supremacy of national parliaments needs to be firmly <established>.",set up-or- start-or- begin-or- found,Study,Mendirikan
Significant,"Sufficiently <great or important> to be worthy be worthy of attention; noteworthy.
Having a <particular meaning>; indicative of something.
relating to or having signicance.",Adjective,"A <significant> increase in sales.
in times of stress her dreams seemed to her especially <significant>",notable-or- noteworthy-or- serious-or- important-or- rare,Study,Penting
Persuade,<Cause (someone) to do something> through reasoning or argument.,Verb,It wasn't easy-or- but I <persuaded> him to do the right thing,make-or- get-or- prompt-or- coax,Advertising,Membujuk
Convinced,Completely <certain> about something.,Adjective,She was not entirely <convinced> of the soundness of his motives.,sure-or- confident-or- certain-or- assured,Advertising,Yakin
Concluded,"Bring (something) to an end.
<Arrive at a judgement> or opinion by reasoning.",Verb,"They <conclude> their study with these words.
The doctors <concluded> that Esther had suffered a stroke.",wrap up-or- finish-or- end-or- round off,Study,Kesimpulan
Unavoidable,<Not be able to be avoided>-or- prevented-or- or ignored; inevitable.,Adjective,The natural and <unavoidable> consequences of growing old.,certain-or- for sure-or-  neccessary-or- sure,Advertising,Tidak Dapat Dihindari
Ploy,A <cunning plan or action> designed to turn a situation to one's own advantage.,Noun,This was widely interpreted as a <ploy> to buy time in order to consolidate his position,move-or- tactic-or- game-or- dodge-or- trick,Advertising,Cara
Intrusive,"<Causing discruption or annoyance> through being unwelcome or uninvited.
(of a sound) pronounced between words or syllables to facilitate pronounciation-or- such as an r in saw a movie-or- which occurs in the speech of some eastern New Englanders and metropolitan New Yorkers. Relating to or formed by intrusion.",Adjective,That was an <intrusive> question.,unwanted-or- prying-or- curious-or- personal-or- annonying-or- disturbing,Advertising,Mengganggu
Exaggerate,<Represent (something) as being larger>-or- better-or- or worse than it really is.,Verb,He was apt to <exaggerate> any aches and pains,oversatate-or- overstress-or- overvalue-or- amplify,Advertising,Berlebihan
Usher,"A person who <shows people to their seats>-or- especially in a theater or at a wedding.
An assistant teacher.",Noun,,,,
Usher,"<Show or guide (someone)> somewhere.
Cause or mark the start of something new.",Verb,"A waiter <ushered> me to a table.
The railroads <ushered> in an era of cheap mass travel.",accompany-or- assist-or- help-or- take-or- show,Travel & Places,Mengantar
Inhabitants,A person or animal <that lives in or occupies a place>,Noun,"The city of Ely has about 10-or-000 <inhabitants>.
Many of the city's <inhabitants> are protesting the government's new policy.",resident-or- populace-or- local-or- public-or- people,Travel & Places,Penduduk
Outweigh,<Be heavier than>,Verb,"Bob <outweighed> him by more than twenty-five pounds.
The advantages greatly <outweigh> the disadvantages.",,Travel & Places,Lebih Baik dari
Barren,"(of land) <too poor to produce> much or any vegetation.
(of a place or building) bleak and lifeless.",Verb,"The plains of Kyrenia were <barren>.
The sports hall turned out to be a rather <barren> concrete building.",unproductive-or- infertile-or- unfruitful-or- sterile-or- arid-or- waste,Travel & Places,Tandus
Provide,"<Make available for use>; supply.
Make adequate preparation for (a possible event).
Stipolate in a will or other legal document.
Sppoint an incumbent to (a benefice).",Verb,"These clubs <provide> a much appreciated service for this area.
new qualifications must <provide> for changes in technology.
The orde should be varied to <provide> that there would be no contact with the father.",give-or- produce-or- deliver-or- present-or- extend,Government,Menyediakan
Entitlement,The fact of <having a right to something>.,Noun,Full <entitlement> to fees and maintenance should be offered,right-or- claim-or- title-or- license-or- permission,Government,Hak
Regulation,"A <rule or directive made> and maintained by an authority.
The action or process of regulation or being regulated.",Noun,"Planning <regulations>.
The <regulation> of financial markets.",control-or- management-or- setting-or- rule-or- act,Government,Peraturan
Oppose,<Disapprove of and attempt to prevent>-or- especially by argument.,Verb,Those of you who <oppose> capital punishment,defy-or- against-or- confront-or- resist,Government,Menolak
Endangered,(of a species) <seriously at risk> of extionction,Adjective,Legislation to protect <endangered> species.,harm-or- hazard,Animals,Terancam bahaya
Venomous,(of an animal-or- <especially a snake) secreting venom>-or- or capable of injecting venom by means of a bite or sting.,Adjective,A leading expert on <venomous> snakes.,poisonous-or- toxic-or- noxious-or- deadly,Animals,Racun-or- Berbisa
Domesticates,<Tame (an animal)> and keep it as a pet or for farm produce.,Verb,Mammals were first <domesticated> for their milk.,tame-or- train-or- pet-or- gentle,Animals,Menjinakkan
Thrive,(of a child-or- animal-or- or plant) <grow or develop> well or vigorously,Verb,The new baby <thrived>.,evolve-or- flourish-or- progress,Animals,Berkembang Pesat
Vulnerable,Susceptible to <physical or emotional attack or harm>,Adjective,We were in a <vulnerable> position,in danger-or- in peril-or- at risk-or- unsafe-or- unprotected,Animals,Rentan
Dwindle,<dimish> gradually in size-or- amount-or- or strength.,Verb,traffic has <dwindled> to a trickle.,dimish-or- decrease-or- reduce-or- get smaller,Animals,Berkurang
Prey,"An animal that is <caught and killed by another for food>.
Plunder or (in biblical use) a pize.
catch and kill for food.",Noun-or- Verb,"The kestrel pounced on its <prey>.
Small birds that <prey> on insect pests.",hunt-or- catch-or- seize-or- eat-or- devour,Animals,Mangsa
Debris,Scattered <pieces of waste> or remains.,Noun,The bomb hits it-or- showering <debris> from all sides.,detritus-or- refuse-or- waste-or- fragments,Space,Puing
Frightening,Making someone <afraid or anxious; terrifying>,Adjective,A <frightening> experience.,dreadful-or- fearsome-or- dire-or- terrific,Space,Menakutkan
Acclimatize,respond physiologically or <behaviourally to a change in conditions> in the natural environment.,Verb,They <acclimatized> themselves before ascending Everest,adjust-or- attune-or- adapt-or- harden-or- integrate,Space,Menyesuaikan Diri pada Suatu Iklim
Fascinating,<Extremely interesting>,Adjective,It's <fascinating> facts,interesting-or- enchanting-or- engrossing-or- attractive-or- delightful,Space,Memukau
Cutting Edge,"A dynamic or invigorating quality.
The latest or <most advanced stage in the development> of something; innovative or pioneering.
",Noun-or- Adjective,"Researchers at the <cutting edge> of molecular biology.
<Cutting-edge> technology.",New-or- trend-or- advanced,Technology and Computer,Ujung Tombak
